English;Russian

Confirmation;Confirmation;Подтверждение;Confirmation;;;
Do you really want to delete;Do you really want to delete;Вы действительно хотите удалить;Do you really want to delete;;;
Popup;Popup;Уведомление;Popup;;;
Got it!;Got it!;Понятно!;Got it!;;;

RegisterItemAmount;The amount of items that you can register at auction;Количество товаров котрые Вы можете зарегистрировать
RegistrationTax;Item registration tax;Стоимость регистрации товара
RegisterItem;Register Item;Регистрация товара

single;Single;Одиночный;Single;;;
burst;Burst;Очередь;Burst;;;
auto;Auto;Авто;Auto;;;

Cook;Cook;Повара
Doctor;Doctor;Доктора
Mechanic;Mechanic;Механика

Weapons;Weapons;Оружие;Weapons;;;
Ammo;Ammo;Патроны;Ammo;;;
Powers;Powers;Допинги;Powers;;;
Currencies;Currencies;Валюта;Currencies;;;
Bundles;Bundles;Наборы;Bundles;;;
Suits;Suits;Костюмы;Suits;;;
WeaponSkins;Weapon Skins;Скины для оружия;Weapon Skins;;;

WearSuit;Wear a suit;Надеть;Wear a suit;;;
Biker;Biker;Байкер;Biker;;;
Business;Business;Офисный Работник;Business;;;
Cool;Cool;Клевый парень;Cool;;;
Criminal;Criminal;Бандит;Criminal;;;
Homeless;Homeless;Бездомный;Homeless;;;
Hunter;Hunter;Охотник;Hunter;;;
Islander;Islander;Оружие;Islander;;;
Press;Press;Журналист;Press;;;
ProtectionSuit;Protection suit;Костюм Хим Защиты;Protection suit;;;
RiotCop;RiotCop;Полицейский;RiotCop;;;
Sheriff;Sheriff;Шериф;Sheriff;;;
Soldier;Soldier;Военный;Soldier;;;
Teen;Teen;Подросток;Teen;;;
Wanderer;Wanderer;Странник;Wanderer;;;

Female Cool;Cool;Отвязная Чика;Cool;;;
Female Eastern;Eastern;Восточный;Eastern;;;
Female Emo;Emo;Эмо;Emo;;;
Female Hazmat;Protection suit;Костюм Хим Защиты;Protection suit;;;
Female Mechanic;Mechanic;Механик;Mechanic;;;
Female Nerd;Nerd;Спасатель;Nerd;;;
Female Nun;Nun;Монашка;Nun;;;
Female Patient;Patient;Пациентка Больницы;Patient;;;
Female Punk;Punk;Панк;Punk;;;
Female Scout;Scout;Скаут;Scout;;;
Female Soldier;Soldier;Военная;Soldier;;;
Female Teen;Teen;Подросток;Teen;;;
Female Waitress;Waitress;Официантка;Waitress;;;

Amir Kaffarov;Amir Kaffarov;Амир Кафаров
Lt. Jennifer Hawkins;Lt. Jennifer Hawkins;Лейтенант Дженнифер Хокинс

GuildManagement;Guild Management;Гильдии
NpcGuildManagement;Npc Guild Management;Гильдии
GuildName;Guild Name;Название
Master;Master;Лидер
Members;Members;Участников
Join;Join;Вступить
CreateGuild;Create Guild;Создать гильдию
TerminateGuild;TerminateGuild;Удаление гильдии
Terminate;Terminate;Удалить
LeaveGuild;Leave Guild;Покинуть
GuildMaster;Guild Master;Лидер
Notice;Notice;Приветствие
Member;Member;Участник
Rank;Rank;Ранг


You can get a reward;You can get a reward;Можно забрать награду
The reward has already been received;The reward has already been received;Награда уже получена
The time of receipt has not yet come;The time of receipt has not yet come;Время получения награды еще не пришло

Unknown island;Unknown island;Неизвестный  остров
YouDied;You Died! Respawning in:;Вы Умерли! Возрождение через:
InvitParty;Has invited you to their Party.;Приглашает в группу
Bind Item;Bind Item;Привязка предмета
BindDescription;After binding, you will not lose this item.\nTo give this item to other players, you have to release it.;После привязки вы не потеряете этот предмет.\nЧтобы передать его другим игрокам, вы должны его отвязать
Bind;Bind;Выполнить

The territory is controlled by the;The territory is controlled by the;Территорию контролируют
The territory is not controlled;The territory is not controlled;Территория не контролируется
